Time-from-meal,BGL,Heart_Rate,md_so,md_sd,t_sd,md_do,sd_r
950,86.4,111,-0.008758455449,0.0003814788156,0.1672727273,-0.009139934264,-0.04355548965
950,86.4,108,-0.008774954682,0.0004882074465,0.1876363636,-0.009263162129,-0.05563646357
950,86.4,117,-0.008789074692,0.0001300165948,0.1069090909,-0.008919091287,-0.01479297872
950,86.4,114,-0.008859858633,0.0003857256748,0.1661538462,-0.009245584308,-0.04353632386
950,86.4,123,-0.008381016873,0.0001445426167,0.112,-0.00852555949,-0.01724642951
950,86.4,120,-0.008251482846,0.0002106597922,0.1128,-0.008462142638,-0.02552993155
950,86.4,126,-0.008222004653,0.0001957032124,0.1105454545,-0.008417707865,-0.02380237189
950,86.4,117,-0.008125589921,0.0003426771489,0.1272727273,-0.00846826707,-0.04217258713
950,86.4,111,-0.007725094157,0.0005017422296,0.1527272727,-0.008226836387,-0.06494965878
950,86.4,120,-0.007724313803,0.0002091808446,0.1015384615,-0.007933494647,-0.02708083203
950,86.4,99,-0.001530632693,0.003610408319,0.1586666667,-0.005141041012,-2.358768589
950,86.4,90,-0.001281530091,0.003374749274,0.1768888889,-0.004656279365,-2.633374977
600,122.4,102,0.005064334017,0.007597415735,0.1648,-0.002533081718,1.500180618
600,122.4,105,0.006194657945,0.009584498729,0.1705,-0.003389840784,1.54722001
600,122.4,99,0.005662263261,0.01006956507,0.175,-0.004407301806,1.778363987
600,122.4,99,0.008649326352,0.01145806785,0.1765,-0.002808741499,1.32473529
600,122.4,99,0.008382174216,0.01036167308,0.1685333333,-0.001979498863,1.236155777
600,122.4,102,0.007184019396,0.009399354504,0.1825,-0.002215335108,1.308369867
600,122.4,102,0.006255960785,0.008824182505,0.1815,-0.002568221721,1.410523948
600,122.4,126,-0.009175933539,0.0001289680639,0.1091428571,-0.009304901603,-0.01405503465
600,122.4,78,-0.0080209187,0.001666004745,0.2728,-0.009686923445,-0.2077074718
600,122.4,93,-0.007059543762,0.00145255528,0.1403076923,-0.008512099042,-0.2057576707
600,122.4,96,-0.007134430881,0.001266834476,0.1354666667,-0.008401265357,-0.1775662975
600,122.4,105,-0.006189044342,0.00233715689,0.155,-0.008526201232,-0.3776280732
600,122.4,102,-0.006013766453,0.002896919801,0.1675,-0.008910686254,-0.4817147164
600,122.4,99,-0.004440585099,0.004170350456,0.1765,-0.008610935555,-0.9391443611
600,122.4,102,-0.002428388881,0.006361090325,0.1885,-0.008789479205,-2.619469384
600,122.4,99,-0.002908951032,0.006081146694,0.1895,-0.008990097726,-2.090494693
600,122.4,126,-0.007985324315,0.0001938774413,0.104,-0.008179201756,-0.02427921943
600,122.4,87,-0.005544525757,0.001833494154,0.1688,-0.007378019911,-0.3306854787
600,122.4,99,-0.003963434014,0.002532996841,0.14,-0.006496430855,-0.6390914626
600,122.4,105,-0.002592245588,0.004355425632,0.1585,-0.00694767122,-1.680174769
600,122.4,99,-0.002376881247,0.005190118397,0.1685,-0.007566999644,-2.183583384
600,122.4,99,0.0002701027652,0.007271234594,0.1775,-0.007001131829,26.92025233
600,122.4,108,0.002447111844,0.008078661018,0.1706666667,-0.005631549174,3.301304367
600,122.4,102,0.002864543995,0.01026126215,0.1885,-0.007396718156,3.582162526
600,122.4,99,0.002117209393,0.009776999825,0.1885,-0.007659790432,4.617870985
600,122.4,102,0.004309986819,0.009042535439,0.1717333333,-0.00473254862,2.098042481
600,122.4,102,0.005215027888,0.009426430032,0.1712,-0.004211402143,1.807551222
600,122.4,105,0.004733896615,0.01117366692,0.1755,-0.00643977031,2.360352968
600,122.4,99,0.006221387528,0.01162726701,0.1785,-0.005405879485,1.868918623
600,122.4,99,0.008306734812,0.01319286452,0.181,-0.004886129712,1.588213037
600,122.4,99,0.00794377977,0.01191404861,0.1728,-0.003970268843,1.499795936
600,122.4,102,0.009235632403,0.01408061282,0.183,-0.004844980419,1.524596498
600,122.4,102,0.007907382817,0.01349103583,0.1825,-0.005583653009,1.706131616
950,90,102,0.004794049884,0.007796522033,0.178,-0.003002472149,1.626291386
950,90,102,0.003770717814,0.008051011402,0.1785,-0.004280293588,2.135140257
950,90,99,0.004160827621,0.008491896291,0.18,-0.00433106867,2.040915189
950,90,105,0.004443703434,0.008294595606,0.1750588235,-0.003850892173,1.866595224
950,90,99,0.004674145793,0.008737297861,0.179,-0.004063152068,1.869282271
950,90,99,0.004997448629,0.009224424052,0.186,-0.004226975423,1.845826688
950,90,99,0.005989828861,0.009324263955,0.1805,-0.003334435094,1.556682865
950,90,99,0.006309760034,0.009857495445,0.182,-0.003547735411,1.562261543
950,90,102,0.006693232084,0.01005278297,0.184,-0.003359550885,1.501932526
950,90,102,0.006660677031,0.009301473397,0.1781333333,-0.002640796366,1.396475667
950,90,105,0.004888683051,0.00774980407,0.1783529412,-0.002861121019,1.58525394
950,90,102,0.004909668181,0.007158554698,0.182,-0.002248886517,1.458052649
950,90,102,-0.004924767476,0.003274474884,0.175,-0.00819924236,-0.6648993886
950,90,102,-0.004907294905,0.003294914121,0.1765,-0.008202209026,-0.671431855
950,90,99,-0.004785731833,0.004000320384,0.185,-0.008786052217,-0.8358847765
950,90,105,-0.004396902296,0.004221729533,0.1821176471,-0.008618631829,-0.9601599601
950,90,99,-0.004189386901,0.004624171396,0.1885,-0.008813558297,-1.103782368
950,90,99,-0.003864442974,0.004938172949,0.1935,-0.008802615923,-1.277848576
950,90,99,-0.004085282308,0.004427511276,0.186,-0.008512793584,-1.083771192
950,90,99,-0.004075278887,0.004538727911,0.19,-0.008614006799,-1.113722039
950,90,102,-0.003639355022,0.004864743566,0.192,-0.008504098588,-1.336704866
950,90,99,-0.003609722366,0.005124669627,0.1945,-0.008734391992,-1.419685258
950,90,105,-0.003989589358,0.004667218388,0.1868235294,-0.008656807746,-1.169849318
950,90,102,-0.003412124036,0.004930905722,0.1946666667,-0.008343029758,-1.445113269
950,90,99,-0.003496411167,0.005136147583,0.2032,-0.00863255875,-1.468976999
950,90,102,-0.002185410853,0.005309308222,0.176,-0.007494719075,-2.429432532
950,90,102,-0.002246961235,0.005279912992,0.1775,-0.007526874227,-2.349801549
950,90,102,-0.001622099362,0.006237842061,0.1835,-0.007859941424,-3.84553635
950,90,105,-0.001587460032,0.00654507238,0.1802352941,-0.008132532412,-4.122984044
950,90,99,-0.001175037201,0.007080962962,0.1835,-0.008256000163,-6.026160669
950,90,99,-0.000683081815,0.007759135521,0.194,-0.008442217336,-11.35901345
950,90,99,-0.0009833352338,0.006886473399,0.183,-0.007869808633,-7.003179752
950,90,99,-0.0007956155468,0.007254542924,0.19,-0.008050158471,-9.11815129
950,90,102,-6.56E-05,0.007886380302,0.1915,-0.007951974054,-120.2306622
950,90,102,-0.0001032805957,0.008163388777,0.193,-0.008266669373,-79.04087617
950,90,105,-0.0006746081229,0.007383830069,0.184,-0.008058438192,-10.94536193
950,90,102,0.0003450191204,0.007989954478,0.1930666667,-0.007644935357,23.15800489
950,90,99,7.23E-05,0.008082585574,0.1989333333,-0.008010238436,111.719493
950,90,102,0.003818181605,0.009952301282,0.179,-0.006134119677,2.606555243
950,90,102,0.002620796221,0.01020736202,0.1795,-0.007586565797,3.89475608
950,90,99,0.002525434198,0.0102259664,0.183,-0.007700532197,4.049191384
950,90,105,0.003004553114,0.00996094629,0.176,-0.006956393176,3.315283808
950,90,99,0.002991651488,0.01031784776,0.179,-0.007326196273,3.44888026
950,90,99,0.003396440696,0.01071092876,0.184,-0.007314488068,3.153574498
950,90,99,0.004930620996,0.0113547414,0.1795,-0.006424120403,2.302902902
950,90,99,0.004900802368,0.01173353227,0.1815,-0.006832729898,2.394206374
950,90,102,0.004888968162,0.01142115863,0.1815,-0.006532190466,2.336108203
950,90,99,0.004891421342,0.0119277295,0.182,-0.00703630816,2.438499706
950,90,105,0.005833303583,0.01351244783,0.1792941176,-0.00767914425,2.316431443
950,90,102,0.005380371266,0.01174688096,0.1785,-0.006366509691,2.183284457
600,97.2,81,-0.0002403020903,0.002732926198,0.1869090909,-0.002973228289,-11.37287734
600,97.2,72,-0.0003148938215,0.003702216475,0.2444444444,-0.004017110297,-11.75703117
600,97.2,75,-5.25E-05,0.003294572855,0.1944,-0.003347049518,-62.78167626
600,97.2,66,0.0006962376925,0.005045792869,0.244,-0.004349555177,7.247227382
600,97.2,87,0.0006794759509,0.002953424864,0.1556923077,-0.002273948913,4.346621628
600,97.2,93,0.001066177248,0.002215865179,0.1194285714,-0.001149687931,2.078327205
600,97.2,96,0.002283242639,0.002903557833,0.1421538462,-0.0006203151936,1.271681679
600,97.2,96,0.003018906838,0.004502888426,0.1664,-0.001483981588,1.491562565
600,97.2,99,0.002421967452,0.003940747582,0.144,-0.00151878013,1.627085277
600,97.2,99,0.007735028454,0.008789918474,0.149,-0.001054890021,1.136378299
600,97.2,96,0.002173809426,0.00306617475,0.1434666667,-0.000892365324,1.410507616
600,97.2,78,-0.00796761292,0.0008209101274,0.1544,-0.008788523048,-0.1030308746
600,97.2,78,-0.007856241335,0.000914866284,0.1694545455,-0.008771107619,-0.1164508885
600,97.2,81,-0.007206048622,0.001770792666,0.2346666667,-0.008976841289,-0.2457369856
600,97.2,84,-0.006664186645,0.001924828578,0.2026666667,-0.008589015223,-0.288831733
